,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
20,-67.73,-24.58,-61.01846912734078,-28.50387523285985,31.0,0.0,60.707044270108746,56.28771,3167.03056,3167.03056,59.3122,49.19831,-25.66768,0.93397,79.70314,42.80777,4.35778,28.23981,2493.26622,0.4928776059614747,1.0
21,-67.48,-16.920000000000005,-63.003008150740214,-19.87541199699929,23.0,0.0,69.67854320696333,54.8757,3669.27017,2439.17729,109.99979,-17.66982,-15.04259,25.69831,123.85464,-42.57782,-28.38757,18.97156,3050.40547,-0.3311162043999178,1.0
22,-66.6,-18.44,-62.578350547399815,-21.113117342316542,21.0,0.0,70.53483799187944,55.66454,3612.54939,2605.14028,110.53461,-1.8942,-18.20578,22.96976,127.97605,-23.93471,-20.98566,10.59336,2995.4704500000003,-0.1848889614493812,1.0
23,-65.75,-19.63,-63.71447090070207,-21.080675824569546,12.0,0.0,60.82359832676861,55.50303,3553.42217,2882.78329,98.82862,19.8949,-20.45905,17.94159,119.42524,3.14439,-6.44167,1.50821,2939.8251600000003,0.026323277236275127,1.0
24,-66.45,-20.95,-64.19069478496432,-22.54013508182098,13.0,0.0,61.02038637129196,55.99733,3442.22422,2994.38907,100.40638,10.50674,-18.64111,19.77099,119.25076,-8.00946,-11.80177,3.84249,2772.84261,-0.06706413126214611,1.0
25,-66.03,-20.91,-63.09852167976685,-22.903051580253962,16.0,0.0,65.87109193887659,56.00428,3442.98002,2995.02556,103.80607,35.35649,-18.54939,19.88665,124.00639,18.44845,-11.96498,8.46184,2772.84261,0.1476869498461038,1.0
26,-66.0,-18.7,-61.712000330780036,-21.495871519915,22.0,0.0,70.0131259520542,55.67032,3613.52796,2493.41553,111.24388,-3.51536,-18.22077,23.52746,128.194,-26.40642,-21.05913,11.63944,2939.8251600000003,-0.20314652373119949,1.0
27,-66.79,-18.14,-63.02423087603914,-20.686870986716606,20.0,0.0,70.39584125383158,55.65934,3611.66084,2716.87097,106.34358,16.86624,-15.2154,22.64065,124.51078,-2.43651,-20.92246,1.12106,2995.4704500000003,-0.01956616981245526,1.0
28,-67.13,-17.95,-64.46405735380465,-19.817415994772947,15.0,0.0,63.03412036855372,55.66864,3609.80078,2827.69707,100.4777,-5.47972,-15.40119,22.47903,116.43995,-26.62963,-20.63831,12.88192,2995.4704500000003,-0.22483183013914051,1.0
29,-66.19000000000001,-20.630000000000003,-63.264040147327684,-22.624688357056467,16.0,0.0,65.66616876220135,56.00428,3442.98002,2995.02556,103.80607,35.35649,-18.54939,19.88665,124.00639,18.44845,-11.96498,8.46184,2828.7525600000004,0.1476869498461038,1.0
30,-66.36,-20.48,-63.43812411803234,-22.47640105211476,16.0,0.0,65.55362566469896,56.00428,3442.98002,2995.02556,103.80607,35.35649,-18.54939,19.88665,124.00639,18.44845,-11.96498,8.46184,2828.7525600000004,0.1476869498461038,1.0
31,-71.42,-30.25,-33.01385716448656,-36.8752260644657,112.0,0.0,28.757578395860165,56.0151,1328.43722,1104.31701,56.8621,13.84815,-45.83145,-6.95726,93.72925,6.1476,4.89791,3.75259,1823.3410699999995,0.06549510658040451,1.0
32,-69.61,-24.4,-36.78586107872699,-29.176170706781647,100.0,0.0,32.858444847511784,55.89837,2166.1917,158.17155,38.14281,67.73874,-37.70154,4.38554,62.57214,74.37685,-0.01632,49.9266,2493.26622,0.871383485656762,1.0
33,-69.92,-22.53,-36.70220726363981,-29.23859908022334,142.0,0.0,10.764029385204733,55.5252,111.04204,111.04204,58.36328,-7.96506,8.16391,10.65353,48.96243,47.80307,10.24616,44.31356,2717.40785,0.77341760699687,1.0
34,-69.85,-27.41,-32.92092634098751,-33.82268718202092,109.0,0.0,27.04992617104193,55.73891,1884.9493,544.93331,54.85925,67.95865,-41.52244,15.97146,82.82039,42.36802,9.92286,27.0927,2213.18655,0.4728568147873207,1.0
35,-69.17,-23.16,-59.158763252719396,-27.953121894154457,44.0,0.0,50.25666865430729,61.34337,4350.14361,3126.87412,62.43602,41.59396,-24.56951,19.43368,77.39885,5.32829,3.21175,3.93814,2661.36088,0.06873353473277215,1.0
36,-69.23,-27.870000000000005,-66.7294134351295,-29.614978821364,14.0,0.0,58.171815768005644,55.65244,2825.46402,2825.46402,87.4236,51.2561,-24.72653,10.31063,111.4086,42.1874,13.05174,20.74031,2157.5748599999997,0.36198671371439595,1.0
